dataset_type,weather_data,year_of_publication,release,bldg_id,upgrade
resstock,tmy3,2021,1,446460,0
resstock,tmy3,2021,1,378790,0
resstock,tmy3,2021,1,404350,0
resstock,tmy3,2021,1,191067,0
resstock,tmy3,2021,1,340590,0
resstock,tmy3,2021,1,169345,0
resstock,tmy3,2021,1,287919,0
resstock,tmy3,2021,1,392184,0
resstock,tmy3,2021,1,415204,0
resstock,tmy3,2021,1,470676,0
resstock,tmy3,2021,1,513235,0
resstock,tmy3,2021,1,549222,0
resstock,tmy3,2021,1,63550,0
resstock,tmy3,2021,1,117320,0
resstock,tmy3,2021,1,128193,0
resstock,tmy3,2021,1,135664,0
resstock,tmy3,2021,1,196307,0
resstock,tmy3,2021,1,208209,0
resstock,tmy3,2021,1,229476,0
resstock,tmy3,2021,1,330868,0
resstock,tmy3,2021,1,521981,0
resstock,tmy3,2021,1,6887,0
resstock,tmy3,2021,1,474782,0
resstock,tmy3,2021,1,40,0
resstock,tmy3,2021,1,209,0
resstock,tmy3,2021,1,384,0
resstock,tmy3,2021,1,478,0
resstock,tmy3,2021,1,637,0
resstock,tmy3,2021,1,1386,0
resstock,tmy3,2021,1,1440,0
resstock,tmy3,2021,1,2001,0
resstock,tmy3,2021,1,3615,0
resstock,tmy3,2021,1,3987,0
resstock,tmy3,2021,1,4997,0
resstock,tmy3,2021,1,5162,0
resstock,tmy3,2021,1,5240,0
resstock,tmy3,2021,1,5447,0
resstock,tmy3,2021,1,6821,0
resstock,tmy3,2021,1,7111,0
resstock,tmy3,2021,1,7128,0
resstock,tmy3,2021,1,7895,0
resstock,tmy3,2021,1,9588,0
resstock,tmy3,2021,1,10755,0
resstock,tmy3,2021,1,11281,0
resstock,tmy3,2021,1,11476,0
resstock,tmy3,2021,1,11696,0
resstock,tmy3,2021,1,13115,0
resstock,tmy3,2021,1,13181,0
resstock,tmy3,2021,1,15429,0
resstock,tmy3,2021,1,15942,0
resstock,tmy3,2021,1,16203,0
resstock,tmy3,2021,1,16235,0
resstock,tmy3,2021,1,16607,0
resstock,tmy3,2021,1,18098,0
resstock,tmy3,2021,1,18751,0
resstock,tmy3,2021,1,19914,0
resstock,tmy3,2021,1,20687,0
resstock,tmy3,2021,1,21264,0
resstock,tmy3,2021,1,21356,0
resstock,tmy3,2021,1,21770,0
resstock,tmy3,2021,1,22616,0
resstock,tmy3,2021,1,23437,0
resstock,tmy3,2021,1,23854,0
resstock,tmy3,2021,1,24194,0
resstock,tmy3,2021,1,24271,0
resstock,tmy3,2021,1,25610,0
resstock,tmy3,2021,1,25646,0
resstock,tmy3,2021,1,26812,0
resstock,tmy3,2021,1,26899,0
resstock,tmy3,2021,1,26931,0
resstock,tmy3,2021,1,27020,0
resstock,tmy3,2021,1,28737,0
resstock,tmy3,2021,1,28995,0
resstock,tmy3,2021,1,29370,0
resstock,tmy3,2021,1,29507,0
resstock,tmy3,2021,1,30223,0
resstock,tmy3,2021,1,31139,0
resstock,tmy3,2021,1,32434,0
resstock,tmy3,2021,1,33548,0
resstock,tmy3,2021,1,33779,0
resstock,tmy3,2021,1,33885,0
resstock,tmy3,2021,1,34239,0
resstock,tmy3,2021,1,34375,0
resstock,tmy3,2021,1,34532,0
resstock,tmy3,2021,1,34811,0
resstock,tmy3,2021,1,34873,0
resstock,tmy3,2021,1,36217,0
resstock,tmy3,2021,1,36456,0
resstock,tmy3,2021,1,36587,0
resstock,tmy3,2021,1,36642,0
resstock,tmy3,2021,1,36959,0
resstock,tmy3,2021,1,38402,0
resstock,tmy3,2021,1,38817,0
resstock,tmy3,2021,1,39610,0
resstock,tmy3,2021,1,40929,0
resstock,tmy3,2021,1,41091,0
resstock,tmy3,2021,1,41207,0
resstock,tmy3,2021,1,42644,0
resstock,tmy3,2021,1,42890,0
resstock,tmy3,2021,1,43045,0
